,AREA_INDEX,MDATETIME,SO2_RFLAG,SO2,PM10_RFLAG,PM10,O3_RFLAG,O3,NO2_RFLAG,NO2,CO_RFLAG,CO,NOX_RFLAG,NOX,NO_RFLAG,NO,PM25_RFLAG,PM25,SO2_CODE,NO2_CODE,O3_CODE,CO_CODE,PM10_CODE,PM25_CODE,NO_CODE,NOX_CODE
2021-01-02 16:00:00,437181,2021-01-02 16:00:00,,0.004,,41.0,,0.039,,0.008,,0.3,,0.011,,0.003,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 17:00:00,437181,2021-01-02 17:00:00,,0.004,,41.0,,0.039,,0.009,,0.3,,0.012,,0.003,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 18:00:00,437181,2021-01-02 18:00:00,,0.004,,45.0,,0.036,,0.011,,0.3,,0.014,,0.003,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 19:00:00,437181,2021-01-02 19:00:00,,0.004,,48.0,,0.036,,0.01,,0.4,,0.013,,0.003,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 20:00:00,437181,2021-01-02 20:00:00,,0.004,,46.0,,0.036,,0.009,,0.4,,0.011,,0.002,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 21:00:00,437181,2021-01-02 21:00:00,,0.004,,50.0,,0.037,,0.008,,0.4,,0.01,,0.002,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 22:00:00,437181,2021-01-02 22:00:00,,0.004,,54.0,,0.038,,0.007,,0.4,,0.009,,0.002,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 23:00:00,437181,2021-01-02 23:00:00,,0.004,,50.0,,0.037,,0.007,,0.4,,0.009,,0.002,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 00:00:00,437181,2021-01-03 00:00:00,,0.004,,51.0,,0.035,,0.008,,0.4,,0.01,,0.002,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 01:00:00,437181,2021-01-03 01:00:00,,0.003,,46.0,,0.037,,0.006,,0.4,,0.008,,0.002,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 02:00:00,437181,2021-01-03 02:00:00,,0.003,,46.0,,0.036,,0.006,,0.4,,0.008,,0.002,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 03:00:00,437181,2021-01-03 03:00:00,,0.003,,51.0,,0.036,,0.006,,0.4,,0.008,,0.002,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 04:00:00,437181,2021-01-03 04:00:00,,0.003,,53.0,,0.035,,0.006,,0.4,,0.008,,0.002,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 05:00:00,437181,2021-01-03 05:00:00,,0.003,,51.0,,0.033,,0.007,,0.4,,0.009,,0.002,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 06:00:00,437181,2021-01-03 06:00:00,,0.003,,54.0,,0.034,,0.006,,0.3,,0.008,,0.002,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 07:00:00,437181,2021-01-03 07:00:00,,0.003,,49.0,,0.034,,0.006,,0.3,,0.008,,0.002,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 08:00:00,437181,2021-01-03 08:00:00,,0.003,,52.0,,0.034,,0.006,,0.3,,0.008,,0.002,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 09:00:00,437181,2021-01-03 09:00:00,,0.003,,48.0,,0.033,,0.008,,0.3,,0.011,,0.003,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 10:00:00,437181,2021-01-03 10:00:00,,0.003,,47.0,,0.035,,0.007,,0.3,,0.011,,0.004,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 11:00:00,437181,2021-01-03 11:00:00,,0.003,,49.0,,0.037,,0.006,,0.3,,0.009,,0.003,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 12:00:00,437181,2021-01-03 12:00:00,,0.003,,46.0,,0.038,,0.006,,0.3,,0.009,,0.003,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 13:00:00,437181,2021-01-03 13:00:00,,0.004,,37.0,,0.041,,0.005,,0.3,,0.008,,0.003,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 14:00:00,437181,2021-01-03 14:00:00,,0.004,,33.0,,0.041,,0.006,,0.3,,0.009,,0.003,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 15:00:00,437181,2021-01-03 15:00:00,,0.004,,37.0,,0.042,,0.006,,0.4,,0.009,,0.003,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 16:00:00,437181,2021-01-03 16:00:00,,0.004,,36.0,,0.04,,0.007,,0.4,,0.01,,0.003,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 17:00:00,437181,2021-01-03 17:00:00,,0.004,,41.0,,0.038,,0.01,,0.4,,0.013,,0.003,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 18:00:00,437181,2021-01-03 18:00:00,,0.004,,41.0,,0.033,,0.012,,0.4,,0.015,,0.003,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 19:00:00,437181,2021-01-03 19:00:00,,0.004,,49.0,,0.034,,0.011,,0.4,,0.013,,0.002,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 20:00:00,437181,2021-01-03 20:00:00,,0.004,,49.0,,0.032,,0.011,,0.4,,0.013,,0.002,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 21:00:00,437181,2021-01-03 21:00:00,,0.003,,54.0,,0.031,,0.011,,0.4,,0.013,,0.002,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 22:00:00,437181,2021-01-03 22:00:00,,0.003,,53.0,,0.03,,0.01,,0.4,,0.012,,0.002,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03 23:00:00,437181,2021-01-03 23:00:00,,0.003,,50.0,,0.029,,0.01,,0.4,,0.012,,0.002,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 00:00:00,437181,2021-01-04 00:00:00,,0.003,,48.0,,0.027,,0.011,,0.4,,0.013,,0.002,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 01:00:00,437181,2021-01-04 01:00:00,,0.003,,49.0,,0.026,,0.011,,0.4,,0.013,,0.002,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 02:00:00,437181,2021-01-04 02:00:00,,0.003,,41.0,,0.025,,0.011,,0.4,,0.013,,0.002,,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 03:00:00,437181,2021-01-04 03:00:00,,0.003,,46.0,,0.026,,0.009,,0.4,,0.011,,0.002,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 04:00:00,437181,2021-01-04 04:00:00,,0.003,,48.0,,0.027,,0.009,,0.4,,0.011,,0.002,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 05:00:00,437181,2021-01-04 05:00:00,,0.003,,47.0,,0.028,,0.008,,0.4,,0.01,,0.002,,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 06:00:00,437181,2021-01-04 06:00:00,,0.003,,45.0,,0.027,,0.009,,0.4,,0.011,,0.002,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 07:00:00,437181,2021-01-04 07:00:00,,0.003,,41.0,,0.026,,0.01,,0.4,,0.013,,0.003,,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 08:00:00,437181,2021-01-04 08:00:00,,0.005,,41.0,,0.008,,0.031,,0.6,,0.064,,0.033,,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 09:00:00,437181,2021-01-04 09:00:00,,0.004,,43.0,,0.008,,0.028,,0.7,,0.054,,0.026,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 10:00:00,437181,2021-01-04 10:00:00,,0.003,,49.0,,0.017,,0.018,,0.5,,0.027,,0.009,,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 11:00:00,437181,2021-01-04 11:00:00,,0.004,,46.0,,0.028,,0.013,,0.4,,0.02,,0.007,,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 12:00:00,437181,2021-01-04 12:00:00,,0.004,,42.0,,0.031,,0.013,,0.4,,0.021,,0.008,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 13:00:00,437181,2021-01-04 13:00:00,,0.004,,40.0,,0.037,,0.01,,0.3,,0.015,,0.005,,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 14:00:00,437181,2021-01-04 14:00:00,,0.004,,35.0,,0.039,,0.011,,0.3,,0.018,,0.007,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 15:00:00,437181,2021-01-04 15:00:00,,0.005,,42.0,,0.04,,0.011,,0.3,,0.015,,0.004,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 16:00:00,437181,2021-01-04 16:00:00,,0.005,,41.0,,0.041,,0.011,,0.4,,0.015,,0.004,,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 17:00:00,437181,2021-01-04 17:00:00,,0.005,,46.0,,0.044,,0.01,,0.4,,0.013,,0.003,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 18:00:00,437181,2021-01-04 18:00:00,,0.005,,43.0,,0.033,,0.017,,0.5,,0.021,,0.004,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 19:00:00,437181,2021-01-04 19:00:00,,0.005,,48.0,,0.011,,0.034,,0.6,,0.045,,0.011,,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 20:00:00,437181,2021-01-04 20:00:00,,0.006,,45.0,,0.007,,0.033,,0.7,,0.044,,0.011,,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04 21:00:00,437181,2021-01-04 21:00:00,,0.005,,51.0,,0.013,,0.025,,0.7,,0.03,,0.005,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
